,STATUS,PRICE,BED,BATH,ACRE LOT,FULL ADDRESS,STREET,CITY,STATE,HOUSE SIZE,ZIP
451097,for_sale,515000.0,3.0,3.0,0.65,"46 Green St, Poughquag, NY, 12570",46 Green St,Poughquag,New York,2709.0,12570
451133,for_sale,549980.0,4.0,3.0,0.69,"20 Watermill Way, Ridge, NY, 11961",20 Watermill Way,Ridge,New York,2537.0,11961
451144,for_sale,3700000.0,5.0,8.0,1.98,"3 Quail Run, Belle Terre, NY, 11777",3 Quail Run,Belle Terre,New York,7000.0,11777
451176,for_sale,425000.0,3.0,2.0,0.33,"10 Meehan Ln, Coram, NY, 11727",10 Meehan Ln,Coram,New York,1085.0,11727
451185,for_sale,669000.0,4.0,3.0,1.22,"152 Wood Rd, Centereach, NY, 11720",152 Wood Rd,Centereach,New York,3400.0,11720
451193,for_sale,749000.0,7.0,4.0,2.15,"15 Old Field Rd, Setauket, NY, 11733",15 Old Field Rd,Setauket,New York,2972.0,11733
451295,for_sale,1399000.0,4.0,4.0,0.69,"14 Remsen Ct, Mount Sinai, NY, 11766",14 Remsen Ct,Mount Sinai,New York,3790.0,11766
451338,for_sale,789900.0,4.0,3.0,0.81,"415 Nichols Ave, Shelton, CT, 06484",415 Nichols Ave,Shelton,Connecticut,3204.0,06484
451432,for_sale,782750.0,4.0,4.0,1.57,"Biltmore Dr Lot 14, Hopewell Junction, NY, 12533",Biltmore Dr Lot 14,Hopewell Junction,New York,4199.0,12533
451478,for_sale,549990.0,4.0,3.0,0.51,"Colleen Ct Lot 3, Centereach, NY, 11720",Colleen Ct Lot 3,Centereach,New York,2171.0,11720
451515,for_sale,459000.0,3.0,3.0,2.03,"225 Devon Farms Rd, Stormville, NY, 12582",225 Devon Farms Rd,Stormville,New York,2746.0,12582
451533,for_sale,799000.0,4.0,4.0,0.51,"222 Buttonwood Way, Hopewell Junction, NY, 12533",222 Buttonwood Way,Hopewell Junction,New York,4606.0,12533
451550,for_sale,255000.0,2.0,1.0,0.26,"581 Route 52 Rte, Carmel, NY, 10512",581 Route 52 Rte,Carmel,New York,1050.0,10512
451551,for_sale,289900.0,3.0,2.0,0.47,"472 Fair St, Carmel, NY, 10512",472 Fair St,Carmel,New York,2288.0,10512
451553,for_sale,325000.0,2.0,2.0,0.48,"798 Beekman Rd, Hopewell Junction, NY, 12533",798 Beekman Rd,Hopewell Junction,New York,1176.0,12533
451557,for_sale,350000.0,3.0,1.0,0.67,"339 Hortontown Rd, Hopewell Junction, NY, 12533",339 Hortontown Rd,Hopewell Junction,New York,1465.0,12533
451560,for_sale,395000.0,4.0,3.0,1.35,"6 Leo Ln, Poughquag, NY, 12570",6 Leo Ln,Poughquag,New York,2826.0,12570
451567,for_sale,430000.0,3.0,2.0,0.45,"21 Sterling Rd, Carmel, NY, 10512",21 Sterling Rd,Carmel,New York,1876.0,10512
451574,for_sale,497500.0,4.0,3.0,1.7,"17 Hosner Mountain Rd, Hopewell Junction, NY, 12533",17 Hosner Mountain Rd,Hopewell Junction,New York,2868.0,12533
451579,for_sale,670000.0,5.0,4.0,1.6,"612 Old Stormville Mountain Rd, Stormville, NY, 12582",612 Old Stormville Mountain Rd,Stormville,New York,3272.0,12582
451596,for_sale,275000.0,3.0,1.0,0.31,"6 Rocky Ln, New Windsor, NY, 12533",6 Rocky Ln,New Windsor,New York,1056.0,12533
451599,for_sale,265000.0,2.0,1.0,3.0,"260 Nimham Rd, Carmel, NY, 10512",260 Nimham Rd,Carmel,New York,650.0,10512
451602,for_sale,525000.0,2.0,2.0,0.36,"57 Roosevelt Dr, Poughquag, NY, 12570",57 Roosevelt Dr,Poughquag,New York,2083.0,12570
451609,for_sale,550000.0,3.0,2.0,1.38,"2 Brightview Ct, Mahopac, NY, 10541",2 Brightview Ct,Mahopac,New York,2196.0,10541
451611,for_sale,390000.0,3.0,2.0,0.16,"43 S Lake Shore Dr, Brookfield, CT, 06804",43 S Lake Shore Dr,Brookfield,Connecticut,960.0,06804
451613,for_sale,525000.0,3.0,2.0,1.03,"127 Bullet Hole Rd, Carmel, NY, 10512",127 Bullet Hole Rd,Carmel,New York,1950.0,10512
451629,for_sale,1800000.0,3.0,3.0,0.2,"142 N Lake Shore Dr, Brookfield, CT, 06804",142 N Lake Shore Dr,Brookfield,Connecticut,1900.0,06804
451654,for_sale,899000.0,3.0,4.0,4.11,"14A Old Boston Post Dr, Roxbury, CT, 06783",14A Old Boston Post Dr,Roxbury,Connecticut,2229.0,06783
451668,for_sale,2275000.0,4.0,4.0,18.0,"South St Lot A, Roxbury, CT, 06783",South St Lot A,Roxbury,Connecticut,3000.0,06783
451684,for_sale,437500.0,3.0,2.0,1.07,"76 Brothers Rd, Stormville, NY, 12582",76 Brothers Rd,Stormville,New York,1887.0,12582
451688,for_sale,429900.0,4.0,3.0,1.26,"111 Wilmont Ct, Hopewell Junction, NY, 12533",111 Wilmont Ct,Hopewell Junction,New York,2188.0,12533
451730,for_sale,700000.0,4.0,4.0,2.71,"85 Woodcrest Dr, Hopewell Junction, NY, 12533",85 Woodcrest Dr,Hopewell Junction,New York,4500.0,12533
451741,for_sale,815000.0,4.0,4.0,0.48,"63 Moore Rd, Hopewell Junction, NY, 12533",63 Moore Rd,Hopewell Junction,New York,4400.0,12533
451853,for_sale,400000.0,3.0,3.0,0.26,"131 Old Route 52, Stormville, NY, 12582",131 Old Route 52,Stormville,New York,1760.0,12582
451856,for_sale,445000.0,4.0,2.0,0.72,"340 Route 52, Carmel, NY, 10512",340 Route 52,Carmel,New York,1976.0,10512
451871,for_sale,565000.0,4.0,4.0,3.5,"3760 Route 52, Stormville, NY, 12582",3760 Route 52,Stormville,New York,3500.0,12582
451886,for_sale,239000.0,2.0,1.0,0.49,"17 Hartsdale Rd, Carmel, NY, 10512",17 Hartsdale Rd,Carmel,New York,976.0,10512
451895,for_sale,424500.0,3.0,3.0,0.67,"2743-2745 Route 301, Carmel, NY, 10512",2743-2745 Route 301,Carmel,New York,1547.0,10512
451898,for_sale,475000.0,3.0,3.0,2.27,"73 Fair St, Carmel, NY, 10512",73 Fair St,Carmel,New York,1600.0,10512
451903,for_sale,535000.0,4.0,3.0,1.3,"250 Overhill Rd, Stormville, NY, 12582",250 Overhill Rd,Stormville,New York,3136.0,12582
451942,for_sale,425000.0,3.0,2.0,0.54,"82 Kent Lake Ave, Carmel, NY, 10512",82 Kent Lake Ave,Carmel,New York,2324.0,10512
451946,for_sale,399000.0,3.0,2.0,0.57,"11 Ridge Rd, Carmel, NY, 10512",11 Ridge Rd,Carmel,New York,1487.0,10512
451955,for_sale,895000.0,3.0,2.0,20.0,"169 Lime Ridge Rd, Poughquag, NY, 12570",169 Lime Ridge Rd,Poughquag,New York,2288.0,12570
451962,for_sale,750000.0,4.0,3.0,0.93,"4 Summit Ln, Carmel, NY, 10512",4 Summit Ln,Carmel,New York,2792.0,10512
452003,for_sale,410000.0,3.0,2.0,0.32,"19 Perry Trl, Carmel, NY, 10512",19 Perry Trl,Carmel,New York,1576.0,10512
452020,for_sale,375000.0,3.0,2.0,1.27,"3031 Route 52, Stormville, NY, 12582",3031 Route 52,Stormville,New York,2264.0,12582
452023,for_sale,539000.0,4.0,3.0,1.1,"68 Brothers Rd, Stormville, NY, 12582",68 Brothers Rd,Stormville,New York,2928.0,12582
452024,for_sale,220000.0,2.0,1.0,0.08,"8 Mohansic Rd, Carmel, NY, 10512",8 Mohansic Rd,Carmel,New York,640.0,10512
452029,for_sale,350000.0,3.0,2.0,0.95,"63 Davis Hill Rd, Stormville, NY, 12582",63 Davis Hill Rd,Stormville,New York,1456.0,12582
452042,for_sale,399000.0,6.0,3.0,1.47,"91 Chestnut Ridge Rd, Carmel, NY, 10541",91 Chestnut Ridge Rd,Carmel,New York,1542.0,10541
452043,for_sale,335000.0,2.0,1.0,0.17,"28 Sussex Rd, Carmel, NY, 10512",28 Sussex Rd,Carmel,New York,1185.0,10512
452046,for_sale,399000.0,4.0,2.0,0.44,"24 Beekman Dr, Carmel, NY, 10512",24 Beekman Dr,Carmel,New York,1797.0,10512
452047,for_sale,449000.0,3.0,2.0,1.03,"132 Pudding St, Putnam Valley, NY, 10579",132 Pudding St,Putnam Valley,New York,1360.0,10579
452055,for_sale,875000.0,3.0,2.0,0.67,"424 Lake Shore Rd, Putnam Valley, NY, 10579",424 Lake Shore Rd,Putnam Valley,New York,2055.0,10579
452056,for_sale,725000.0,3.0,3.0,1.38,"1114 Barrett Cir W, Carmel, NY, 10512",1114 Barrett Cir W,Carmel,New York,2400.0,10512
452061,for_sale,195000.0,1.0,1.0,0.16,"39 Lime Ridge Rd Apt E14, Poughquag, NY, 12570",39 Lime Ridge Rd Apt E14,Poughquag,New York,900.0,12570
452146,for_sale,220000.0,2.0,1.0,0.18,"31 Princeton Rd, Carmel, NY, 10512",31 Princeton Rd,Carmel,New York,864.0,10512
452154,for_sale,449000.0,3.0,3.0,1.29,"60 Kent Shore Dr, Carmel, NY, 10512",60 Kent Shore Dr,Carmel,New York,2496.0,10512
452159,for_sale,729900.0,4.0,3.0,1.19,"72 Duke Dr, Carmel, NY, 10512",72 Duke Dr,Carmel,New York,4220.0,10512
452177,for_sale,550000.0,3.0,2.0,0.56,"96 Sagamore Dr, Carmel, NY, 10512",96 Sagamore Dr,Carmel,New York,1624.0,10512
452206,for_sale,749500.0,4.0,4.0,1.01,"52 Seeley Rd, Trumbull, CT, 06611",52 Seeley Rd,Trumbull,Connecticut,3754.0,06611
452222,for_sale,589990.0,3.0,2.0,0.75,"1411 Stony Brook Rd, Stony Brook, NY, 11790",1411 Stony Brook Rd,Stony Brook,New York,1767.0,11790
452229,for_sale,715000.0,4.0,4.0,2.57,"67 Rodeo Dr, Hopewell Junction, NY, 12533",67 Rodeo Dr,Hopewell Junction,New York,4795.0,12533
452233,for_sale,629000.0,3.0,3.0,2.09,"229 Stormville Mountain Rd, Stormville, NY, 12582",229 Stormville Mountain Rd,Stormville,New York,3316.0,12582
452234,for_sale,399000.0,2.0,1.0,2.1,"2407 Route 52, Hopewell Junction, NY, 12533",2407 Route 52,Hopewell Junction,New York,1040.0,12533
452236,for_sale,355000.0,3.0,1.0,0.09,"85 Salem Rd, Carmel, NY, 10512",85 Salem Rd,Carmel,New York,1244.0,10512
452238,for_sale,540000.0,4.0,3.0,0.71,"73 Orchard Dr, Poughquag, NY, 12570",73 Orchard Dr,Poughquag,New York,3360.0,12570
452270,for_sale,329900.0,2.0,3.0,0.18,"61 Woodland Dr, Carmel, NY, 10512",61 Woodland Dr,Carmel,New York,1686.0,10512
452279,for_sale,299999.0,2.0,1.0,0.54,"12 Middle Ct, Carmel, NY, 10512",12 Middle Ct,Carmel,New York,856.0,10512
452319,for_sale,300000.0,2.0,2.0,0.39,"8 Cortina Ln, Holmes, NY, 12531",8 Cortina Ln,Holmes,New York,1232.0,12531
452338,for_sale,585000.0,3.0,3.0,0.35,"17 Bryant Trl, Carmel, NY, 10512",17 Bryant Trl,Carmel,New York,2740.0,10512
452340,for_sale,319900.0,2.0,1.0,0.23,"588 Ludingtonville Rd, Holmes, NY, 12531",588 Ludingtonville Rd,Holmes,New York,756.0,12531
452348,for_sale,379000.0,2.0,1.0,0.28,"18 Huntington Rd, Carmel, NY, 10512",18 Huntington Rd,Carmel,New York,1440.0,10512
452351,for_sale,425000.0,3.0,2.0,0.75,"12 Summit Ln, Carmel Hamlet, NY, 10512",12 Summit Ln,Carmel Hamlet,New York,1300.0,10512
452377,for_sale,1349000.0,5.0,5.0,2.63,"17 Crane Neck Rd, Old Field, NY, 11733",17 Crane Neck Rd,Old Field,New York,3139.0,11733
452381,for_sale,379900.0,3.0,2.0,0.18,"45 Ronkonkoma Blvd, Centereach, NY, 11720",45 Ronkonkoma Blvd,Centereach,New York,1123.0,11720
452387,for_sale,1399000.0,5.0,3.0,0.09,"13 Singingwood Ln, Setauket, NY, 11733",13 Singingwood Ln,Setauket,New York,3528.0,11733
452396,for_sale,325000.0,4.0,1.0,0.13,"9 Greenhaven Rd, Poughquag, NY, 12570",9 Greenhaven Rd,Poughquag,New York,2865.0,12570
452397,for_sale,325000.0,3.0,2.0,1.02,"27 Kentview Dr, Carmel, NY, 10512",27 Kentview Dr,Carmel,New York,1852.0,10512
452405,for_sale,499000.0,3.0,3.0,2.04,"77 Deer Hill Ct, Carmel, NY, 10512",77 Deer Hill Ct,Carmel,New York,2530.0,10512
452412,for_sale,299000.0,2.0,1.0,0.28,"20 Schuyler Rd, Carmel, NY, 10512",20 Schuyler Rd,Carmel,New York,722.0,10512
452428,for_sale,399000.0,3.0,2.0,0.41,"25 Deer Run Ct, Carmel, NY, 10512",25 Deer Run Ct,Carmel,New York,1386.0,10512
452429,for_sale,850000.0,4.0,4.0,1.38,"16 Theresa Ct, Carmel, NY, 10512",16 Theresa Ct,Carmel,New York,4124.0,10512
452438,for_sale,285000.0,2.0,2.0,0.28,"35 Beekman Dr, Carmel, NY, 10512",35 Beekman Dr,Carmel,New York,1539.0,10512
452450,for_sale,495000.0,3.0,3.0,2.05,"11 Seymour Ln, Hopewell Junction, NY, 12533",11 Seymour Ln,Hopewell Junction,New York,1968.0,12533
452458,for_sale,495900.0,3.0,2.0,3.49,"22 Townsend Rd, Hopewell Junction, NY, 12533",22 Townsend Rd,Hopewell Junction,New York,2196.0,12533
452487,for_sale,499999.0,4.0,2.0,0.46,"19 Sound Rd, Wading River, NY, 11792",19 Sound Rd,Wading River,New York,1854.0,11792
452511,for_sale,589999.0,4.0,3.0,0.5,"55 Middle Island Blvd Lot 3, Middle Island, NY, 11953",55 Middle Island Blvd Lot 3,Middle Island,New York,2500.0,11953
452688,for_sale,199000.0,3.0,2.0,0.14,"6 Dering Rd, Sound Beach, NY, 11789",6 Dering Rd,Sound Beach,New York,2000.0,11789
452716,for_sale,579000.0,3.0,3.0,0.23,"N/C Hickory Rd, Rocky Point, NY, 11778",N/C Hickory Rd,Rocky Point,New York,1920.0,11778
452726,for_sale,580000.0,4.0,3.0,0.46,"63 Ozark St, Centereach, NY, 11720",63 Ozark St,Centereach,New York,1900.0,11720
452746,for_sale,1240000.0,5.0,5.0,1.25,"70 Soundview Dr, Easton, CT, 06612",70 Soundview Dr,Easton,Connecticut,4424.0,06612
452766,for_sale,849900.0,4.0,3.0,0.46,"N/C Cliff Rd, Wading River, NY, 11792",N/C Cliff Rd,Wading River,New York,2400.0,11792
452801,for_sale,615000.0,7.0,4.0,0.51,"24 Corie Ct, Port Jefferson, NY, 11777",24 Corie Ct,Port Jefferson,New York,3200.0,11777
452829,for_sale,769000.0,4.0,4.0,0.25,"1201 Main St, Port Jefferson, NY, 11777",1201 Main St,Port Jefferson,New York,2950.0,11777
452842,for_sale,679000.0,3.0,4.0,0.36,"1 Settlers Path, Port Jefferson, NY, 11777",1 Settlers Path,Port Jefferson,New York,2000.0,11777
452887,for_sale,1099000.0,4.0,4.0,0.75,"6 Southgate Rd, Setauket, NY, 11733",6 Southgate Rd,Setauket,New York,3700.0,11733
452924,for_sale,985000.0,5.0,6.0,0.7,"20 Frost Valley Rd, Mount Sinai, NY, 11766",20 Frost Valley Rd,Mount Sinai,New York,6900.0,11766
452928,for_sale,549999.0,4.0,3.0,0.36,"49 Orleans Grn, Coram, NY, 11727",49 Orleans Grn,Coram,New York,2512.0,11727
452997,for_sale,465000.0,4.0,3.0,0.69,"147 Putnam Dr, Carmel, NY, 10512",147 Putnam Dr,Carmel,New York,2406.0,10512
453008,for_sale,1275000.0,4.0,4.0,1.87,"198 Devon Farms Rd, Stormville, NY, 12582",198 Devon Farms Rd,Stormville,New York,6209.0,12582
453014,for_sale,389000.0,3.0,2.0,0.14,"10 Huntington Rd, Carmel, NY, 10512",10 Huntington Rd,Carmel,New York,1680.0,10512
453039,for_sale,365000.0,3.0,1.0,0.22,"139 W Wagon Ln, Centereach, NY, 11720",139 W Wagon Ln,Centereach,New York,1686.0,11720
453040,for_sale,699900.0,4.0,4.0,0.37,"Florence St Lot 32, Centereach, NY, 11720",Florence St Lot 32,Centereach,New York,2700.0,11720
453041,for_sale,999999.0,4.0,5.0,0.37,"22 Patricia Ln, South Setauket, NY, 11720",22 Patricia Ln,South Setauket,New York,4000.0,11720
453050,for_sale,399900.0,2.0,2.0,0.02,"488B Fairway Ct Unit 488B, Ridge, NY, 11961",488B Fairway Ct Unit 488B,Ridge,New York,1516.0,11961
453055,for_sale,1250000.0,5.0,5.0,1.03,"799 Mt Sinai-Coram Rd, Mount Sinai, NY, 11766",799 Mt Sinai-Coram Rd,Mount Sinai,New York,4000.0,11766
453057,for_sale,349990.0,2.0,2.0,0.04,"288B Berwick Ct Unit B, Ridge, NY, 11961",288B Berwick Ct Unit B,Ridge,New York,1600.0,11961
453080,for_sale,349000.0,2.0,1.0,0.2,"33 Selden Blvd, Centereach, NY, 11720",33 Selden Blvd,Centereach,New York,800.0,11720
453091,for_sale,629999.0,3.0,3.0,1.0,"5 Pinefield Ct, Miller Place, NY, 11764",5 Pinefield Ct,Miller Place,New York,2000.0,11764
453092,for_sale,465000.0,4.0,2.0,0.35,"35 Whitewood Dr, Rocky Point, NY, 11778",35 Whitewood Dr,Rocky Point,New York,2800.0,11778
453098,for_sale,450000.0,3.0,2.0,0.34,"22 Colby Dr, Coram, NY, 11727",22 Colby Dr,Coram,New York,1550.0,11727
453099,for_sale,549990.0,4.0,3.0,0.34,"35 Kathleen Cres, Coram, NY, 11727",35 Kathleen Cres,Coram,New York,1721.0,11727
453133,for_sale,475000.0,4.0,2.0,1.01,"153 Miller Place Rd, Miller Place, NY, 11764",153 Miller Place Rd,Miller Place,New York,1726.0,11764
453145,for_sale,754000.0,4.0,3.0,0.54,"5 Lubber St, Stony Brook, NY, 11790",5 Lubber St,Stony Brook,New York,2166.0,11790
453159,for_sale,649000.0,4.0,3.0,0.19,"48 Selden Blvd, Centereach, NY, 11720",48 Selden Blvd,Centereach,New York,2250.0,11720
453167,for_sale,549000.0,4.0,4.0,0.42,"17 Lyons Ln, Coram, NY, 11727",17 Lyons Ln,Coram,New York,3285.0,11727
453170,for_sale,599999.0,4.0,3.0,1.25,"36 Middle Island Blvd Lot 2, Middle Island, NY, 11953",36 Middle Island Blvd Lot 2,Middle Island,New York,2400.0,11953
453220,for_sale,650000.0,3.0,3.0,0.76,"4 Tennessee Ct, Port Jefferson Station, NY, 11776",4 Tennessee Ct,Port Jefferson Station,New York,2681.0,11776
453254,for_sale,690000.0,3.0,2.0,1.07,"46 Gnarled Hollow Rd, East Setauket, NY, 11733",46 Gnarled Hollow Rd,East Setauket,New York,1815.0,11733
453313,for_sale,669990.0,5.0,4.0,0.74,"136 Rustic Rd, Centereach, NY, 11720",136 Rustic Rd,Centereach,New York,2900.0,11720
453392,for_sale,2345000.0,5.0,7.0,1.26,"19 Ivy Ln, Setauket, NY, 11733",19 Ivy Ln,Setauket,New York,7000.0,11733
453395,for_sale,640000.0,4.0,3.0,0.73,"6 Peachtree Ln, Mount Sinai, NY, 11766",6 Peachtree Ln,Mount Sinai,New York,2598.0,11766
453432,for_sale,379000.0,2.0,2.0,0.07,"306 Kingston Ct Unit 306, Ridge, NY, 11961",306 Kingston Ct Unit 306,Ridge,New York,849.0,11961
453469,for_sale,380000.0,4.0,2.0,0.36,"25 Halliday Rd, Coram, NY, 11727",25 Halliday Rd,Coram,New York,1800.0,11727
453471,for_sale,469990.0,2.0,2.0,0.13,"22 Halley Ln Unit 22, Miller Place, NY, 11764",22 Halley Ln Unit 22,Miller Place,New York,1227.0,11764
453502,for_sale,209000.0,1.0,1.0,0.02,"427 Aylesbury Ct Unit D, Ridge, NY, 11961",427 Aylesbury Ct Unit D,Ridge,New York,750.0,11961
453522,for_sale,349999.0,2.0,1.0,0.23,"33 Aloma Rd, Rocky Point, NY, 11778",33 Aloma Rd,Rocky Point,New York,950.0,11778
453524,for_sale,699000.0,3.0,4.0,0.25,"6 Puritan Path, Port Jefferson, NY, 11777",6 Puritan Path,Port Jefferson,New York,2974.0,11777
453525,for_sale,549990.0,4.0,3.0,0.35,"2 Sandpiper Ln, Coram, NY, 11727",2 Sandpiper Ln,Coram,New York,2036.0,11727
453569,for_sale,999990.0,5.0,3.0,0.64,"4 Cobbler Ln, Setauket, NY, 11733",4 Cobbler Ln,Setauket,New York,4200.0,11733
453574,for_sale,869000.0,4.0,3.0,1.12,"19A Cedar Dr, Stony Brook, NY, 11790",19A Cedar Dr,Stony Brook,New York,2600.0,11790
453596,for_sale,499900.0,4.0,2.0,2.22,"77 Far Horizons Dr, Shelton, CT, 06484",77 Far Horizons Dr,Shelton,Connecticut,2604.0,06484
453599,for_sale,399888.0,3.0,1.0,0.25,"50 Wildwood Dr, Sound Beach, NY, 11789",50 Wildwood Dr,Sound Beach,New York,1020.0,11789
453613,for_sale,629000.0,3.0,3.0,0.6,"159 Great Rock Dr, Wading River, NY, 11792",159 Great Rock Dr,Wading River,New York,1800.0,11792
453655,for_sale,879990.0,3.0,3.0,0.1,"99 Hamlet Dr Unit 99, Mount Sinai, NY, 11766",99 Hamlet Dr Unit 99,Mount Sinai,New York,3800.0,11766
453669,for_sale,499999.0,3.0,3.0,0.25,"318 Oakwood Rd, Port Jefferson, NY, 11777",318 Oakwood Rd,Port Jefferson,New York,2000.0,11777
453681,for_sale,769000.0,5.0,4.0,1.07,"4 Jersey Ave, Miller Place, NY, 11764",4 Jersey Ave,Miller Place,New York,4214.0,11764
453694,for_sale,585000.0,5.0,3.0,0.37,"28 Winside Ln, Coram, NY, 11727",28 Winside Ln,Coram,New York,2760.0,11727
453721,for_sale,1599000.0,5.0,7.0,3.81,"19 Tatetuck Trl, Easton, CT, 06612",19 Tatetuck Trl,Easton,Connecticut,6839.0,06612
453726,for_sale,549999.0,3.0,2.0,0.54,"6 King Arthurs Ct, Setauket, NY, 11733",6 King Arthurs Ct,Setauket,New York,1500.0,11733
453737,for_sale,475000.0,2.0,2.0,0.03,"28 White Oak Ct Unit 28, Coram, NY, 11727",28 White Oak Ct Unit 28,Coram,New York,1315.0,11727
453765,for_sale,3799000.0,7.0,9.0,2.65,"18 Flax Pond Woods Rd, Old Field, NY, 11733",18 Flax Pond Woods Rd,Old Field,New York,11000.0,11733
453774,for_sale,499999.0,5.0,3.0,0.33,"301 Mooney Pond Rd, Selden, NY, 11784",301 Mooney Pond Rd,Selden,New York,2500.0,11784
453775,for_sale,439990.0,4.0,3.0,0.37,"21 Ridge Rd, Coram, NY, 11727",21 Ridge Rd,Coram,New York,2500.0,11727
453779,for_sale,389000.0,3.0,1.0,0.14,"36 Halesite Dr, Sound Beach, NY, 11789",36 Halesite Dr,Sound Beach,New York,1350.0,11789
453812,for_sale,619000.0,3.0,2.0,0.82,"233 Great Rock Dr, Wading River, NY, 11792",233 Great Rock Dr,Wading River,New York,1700.0,11792
453814,for_sale,675000.0,4.0,3.0,0.07,"1 Jody Ct, Shoreham, NY, 11786",1 Jody Ct,Shoreham,New York,3287.0,11786
453817,for_sale,595000.0,3.0,2.0,0.35,"7 Jackson Dr, East Setauket, NY, 11733",7 Jackson Dr,East Setauket,New York,1900.0,11733
453820,for_sale,789000.0,5.0,3.0,0.8,"407 Pipe Stave Hollow Rd, Miller Place, NY, 11764",407 Pipe Stave Hollow Rd,Miller Place,New York,3204.0,11764
453927,for_sale,1689000.0,6.0,6.0,0.87,"1 Lemark Ct, Setauket, NY, 11733",1 Lemark Ct,Setauket,New York,6062.0,11733
453938,for_sale,699999.0,4.0,4.0,0.36,"5 Domino Way, Centereach, NY, 11720",5 Domino Way,Centereach,New York,2800.0,11720
453940,for_sale,619000.0,5.0,4.0,0.6,"110 Wilson Dr, Port Jefferson, NY, 11777",110 Wilson Dr,Port Jefferson,New York,3766.0,11777
453942,for_sale,399990.0,2.0,2.0,0.07,"227 Belfast Ln Unit 227, Ridge, NY, 11961",227 Belfast Ln Unit 227,Ridge,New York,1149.0,11961
454008,for_sale,525000.0,2.0,3.0,1.38,"90 Church Ln, Middle Island, NY, 11953",90 Church Ln,Middle Island,New York,1800.0,11953
454011,for_sale,689900.0,4.0,3.0,0.47,"5 Oldstone Ct, Centereach, NY, 11720",5 Oldstone Ct,Centereach,New York,3000.0,11720
454023,for_sale,589990.0,5.0,4.0,0.36,"15 Gaetano Ln, Coram, NY, 11727",15 Gaetano Ln,Coram,New York,2450.0,11727
454055,for_sale,524900.0,4.0,2.0,0.21,"5 Lehigh Ave, Centereach, NY, 11720",5 Lehigh Ave,Centereach,New York,2400.0,11720
454074,for_sale,400000.0,3.0,2.0,0.23,"11 Anne Dr, Selden, NY, 11784",11 Anne Dr,Selden,New York,1770.0,11784
454086,for_sale,440000.0,2.0,3.0,0.03,"160 Windward Ct S Unit 160, Port Jefferson, NY, 11777",160 Windward Ct S Unit 160,Port Jefferson,New York,1200.0,11777
454087,for_sale,599000.0,3.0,3.0,0.88,"53 Deane St, Wading River, NY, 11792",53 Deane St,Wading River,New York,2000.0,11792
454101,for_sale,529000.0,4.0,3.0,0.34,"22 Orleans Grn, Coram, NY, 11727",22 Orleans Grn,Coram,New York,2584.0,11727
454104,for_sale,400000.0,4.0,2.0,0.16,"20 Rockaway Trl, Ridge, NY, 11961",20 Rockaway Trl,Ridge,New York,1700.0,11961
454108,for_sale,439000.0,2.0,1.0,0.07,"184 Edinburgh Dr Unit 184, Ridge, NY, 11961",184 Edinburgh Dr Unit 184,Ridge,New York,1138.0,11961
454112,for_sale,699000.0,4.0,3.0,0.45,"121 Stethem Dr, Centereach, NY, 11720",121 Stethem Dr,Centereach,New York,2400.0,11720
454140,for_sale,3890000.0,6.0,9.0,1.84,"98 Cliff Rd, Belle Terre, NY, 11777",98 Cliff Rd,Belle Terre,New York,15000.0,11777
454186,for_sale,738000.0,5.0,3.0,0.52,"21 Locust Ln, Miller Place, NY, 11764",21 Locust Ln,Miller Place,New York,3215.0,11764
454195,for_sale,799000.0,5.0,3.0,0.85,"29 Holly Berry Ct, Wading River, NY, 11792",29 Holly Berry Ct,Wading River,New York,3020.0,11792
454232,for_sale,449900.0,3.0,3.0,0.21,"384 Hawkins Rd, Centereach, NY, 11720",384 Hawkins Rd,Centereach,New York,1349.0,11720
454260,for_sale,799000.0,4.0,3.0,3.19,"10 Stepney Rd, Easton, CT, 06612",10 Stepney Rd,Easton,Connecticut,3080.0,06612
454281,for_sale,579000.0,2.0,2.0,0.04,"258 Pond Cir Unit 258, Mount Sinai, NY, 11766",258 Pond Cir Unit 258,Mount Sinai,New York,1396.0,11766
454330,for_sale,469000.0,2.0,2.0,0.11,"18 Orient Ct Unit 18, Ridge, NY, 11961",18 Orient Ct Unit 18,Ridge,New York,1635.0,11961
454348,for_sale,469000.0,4.0,2.0,0.23,"339 Mooney Pond Rd, Selden, NY, 11784",339 Mooney Pond Rd,Selden,New York,1790.0,11784
454357,for_sale,565000.0,4.0,2.0,0.3,"200 Crystal Brook Hollow Rd, Port Jefferson Station, NY, 11776",200 Crystal Brook Hollow Rd,Port Jefferson Station,New York,1718.0,11776
454360,for_sale,545000.0,5.0,4.0,0.22,"9 Fairlane Dr, Selden, NY, 11784",9 Fairlane Dr,Selden,New York,2596.0,11784
454361,for_sale,400000.0,3.0,1.0,0.22,"109 Tudor Rd, Centereach, NY, 11720",109 Tudor Rd,Centereach,New York,1048.0,11720
454365,for_sale,899000.0,7.0,5.0,0.47,"28 Arbor Field Way, Lake Grove, NY, 11755",28 Arbor Field Way,Lake Grove,New York,4400.0,11755
454369,for_sale,4250000.0,6.0,8.0,1.0,"11 Davids Way, Port Jefferson, NY, 11777",11 Davids Way,Port Jefferson,New York,10000.0,11777
454396,for_sale,649999.0,3.0,2.0,1.2,"142 N Country Rd, Shoreham, NY, 11786",142 N Country Rd,Shoreham,New York,2280.0,11786
